21	5	4	10
-15	5	6	8
-17	1	7	8
19	4	2	8
21	5	2	11
19	1	3	14
-18	5	10	14
-20	8	9	11
19	7	5	13
-19	2	5	1
-17	5	7	2
-18	5	10	12
21	7	6	12
-18	11	6	17
-21	10	7	10
19	6	3	2
-17	5	10	16
-19	7	4	9
21	13	4	18
18	6	2	6
20	1	7	19
19	13	6	19
-21	5	6	4
-19	3	7	3
-20	0	1	1
-20	7	3	6
-19	0	7	8
-17	4	8	19
18	5	5	12
-18	9	10	7
